nom_produit;prix;specificites
donker bruin stopgaren - garenkaartje 20 m - polyacryl - kleur 807 - garen om te stoppen;19,99;Naaien, Borduren Naalddikte: 8-12 stopgaren is gemaakt van 100% polyacryl en wordt gebruikt bij het stoppen van sokken en kousen. Dit stopgaren... Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Gesponsord Serafil Saliseal |Donkerblauw Polyester naaigaren voor Bootkap, Tent en Zonwering Naaien Naalddikte: 8-12 (12) 100% polyester naaigaren UV bestendig met een dikte 30. Dit garen gebruikt u met naalddikte 100 tot 120... Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorSaliseal NLWat je kan verwachten Gesponsord Serafil Bordo rood Polyester naaigaren voor Bootkap, Tent en Zonwering Naaien Naalddikte: 8-12 (12) 100% polyester naaigaren UV bestendig met een dikte 30. Dit garen gebruikt u met naalddikte 100 tot 120... Huidige voorraad bijna op bij deze verkoperSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorSaliseal NLWat je kan verwachten Gutermann LOT van 5 Bobijntjes POLYESTER GAREN van Hoge Kwaliteit GUTERMANN PERMACORE (Professionele Kwaliteit) 5 x 1000 Meter, GRIJS Naaien (1) Voor sterk gespannen naden- Materiaal: 100% polyester- Constructie: Kern gesponnen- Toepassingsgebieden:... In verschillende varianten verkrijgbaar: MIX 319,99GROEN19,99BRUIN19,99BEIGE19,99BLAUW19,99GROEN19,99 Of bespaar 20% als je er 3 koopt Uiterlijk 29 december in huis Verkoop doorSRL Leduc BVWat je kan verwachten artifil
Micha Yarns - 10 bollen haakkatoen pakket - 100% katoen haakgaren - 10 x 50gram - Cotton Candy - Rainbow Bright (001);25,95;Haken Naalddikte: 2-2.5 (2) Bollen Bundels van Micha Yarns! Haak-/breinaald 2. 0-2. 5 100% katoen 50 gram / 170 meter 10 bollen... 6 dagen Verkoop doorMicha YarnsWat je kan verwachten Gesponsord Micha Yarns
Micha Yarns - 15 bollen haakkatoen pakket - 100% katoen haakgaren - 15 x 50gram - Cotton Candy - Technicolor (001);34,95;Haken Naalddikte: 2-2.5 (2) Bollen Bundels van Micha Yarns! Haak-/breinaald 2. 0-2. 5 100% katoen 50 gram / 170 meter 15 bollen... 6 dagen Verkoop doorMicha YarnsWat je kan verwachten Micha Yarns
Baby Pastel (Wit - Baby Roze - Baby Blauw - Licht Grijs - Donker Grijs)19,95Rainbow Pastel (Wit - Licht Geel - Baby Roze - Baby Blauw - Licht Groen)19,95Nature (Wit - Licht Geel - Geel - Licht Groen - Groen)19,95Baby Girl (Wit 2x - Baby Roze 3x)19,95Rainbow Bright34,95Rainbow Bright (Geel - Oranje - Rood - Blauw - Groen)19,95;5,74;6 dagen Verkoop doorMicha YarnsWat je kan verwachten Rico design Made by Me papierkoord 1mm 20m Jade groen Made by Me papierkoord 1mm 20m Jade groen De Made by Me papierkoorden zijn ideaal voor knutselprojecten,... Of bespaar 26% als je er 4 koopt Uiterlijk 23 december in huis Verkoop doorCreaPoint.nlWat je kan verwachten
sterretje ijzergaren - 20m - 100% polyester - oranje - ijzersterk garen;4,29;Naaien supersterk garen oranje sterretje met 20 meter Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Cheaperito Tape Voor Het Inkorten Van Broeken I Opstrijkbare Zoomband I Broeken Korter Maken I Ook Voor Gordijnen En Tafelkleden I 1 Meter I Grijs Naaien (2) Opstrijkbare Zoomband – De Makkelijke Oplossing voor Het Inkorten van Broeken, Gordijnen en Tafelkleden!Bent... Of bespaar 8% als je er 4 koopt Op voorraad Uiterlijk 20 december in huis Verkoop doorChipepeWat je kan verwachten modinetje
Metallic garen van Modinetje - Elga 5 kleuren: goud 1893 goud 1894 koper 1896 wit 1898 zilver 1890 zie...;16,50;Voor 23:59 uur besteld, dinsdag in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Micha Yarns
Micha Yarns - 80% katoen 20% acryl breiwol - 5 bollen - 5 x 100gram - 200 meter per bol - Donker Rood (013);24,95;Haken Naalddikte: 4-5 (1) Cuddly Cotton garen van Micha Yarns! Dit zijde zachte katoen acryl garen is los gedraaid waardoor ieder... In verschillende varianten verkrijgbaar: Blauw24,95Paars24,95Zwart24,95Licht Geel24,95Groen24,95Wit24,95 6 dagen Verkoop doorMicha YarnsWat je kan verwachten Merkloos / Sans marque
Set van 100 kleuren borduurgaren - Kleurrijk borduurgaren - 8 meter (6 draden) per streng - Geschikt voor vriendschapsarmbandjes, doe-het-zelfprojecten, perfect voor volwassenen en beginners.;17,33;Naaien Naalddikte: 0.5 【Een breed scala aan verschillende kleuren】: De armbanddraden zijn verkrijgbaar in een verscheidenheid... In verschillende varianten verkrijgbaar: 50 kleuren12,83200 kleuren26,61150 kleuren22,13447 kleuren45,75
modinetje metallic garen wit - glitter - metalic yarn - 100 m - col 1898 - borduurgaren;5,50;Naalddikte: 7-8 wit glinsterend borduurgaren Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Creativ company CC Creotime Borduurgaren 1 mm Goud 6 stuks Tekenen Naalddikte: 2
Bollen Bundel - 80% katoen 20% acryl breiwol - 10 bollen haakgaren - 10 x 100gram - Disco World (003) – Cuddly Cotton - Micha Yarns;44,95;Haken Naalddikte: 4-5 Bollen Bundels van Micha Yarns! Deze garen bundels zijn speciaal samengesteld zodat je nog voordeliger... In verschillende varianten verkrijgbaar: Elements44,95 6 dagen Verkoop doorMicha YarnsWat je kan verwachten Gesponsord Micha Yarns
Micha Yarns - 10 bollen haakkatoen pakket - 100% katoen haakgaren - 10 x 50gram - Cotton Candy - Rainbow Pastel (002);20,99;Haken Naalddikte: 2-2.5 (2) Bollen Bundels van Micha Yarns! Haak-/breinaald 2. 0-2. 5 100% katoen 50 gram / 170 meter 10 bollen... 6 dagen Verkoop doorMicha YarnsWat je kan verwachten Gesponsord Coats Zand/Beige Polyester naaigaren voor Bootkap, Tent en Zonwering Naaien Naalddikte: 8-12 (1) 100% polyester naaigaren UV bestendig met een dikte 30. Dit garen gebruikt u met naalddikte 100 tot 120... Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorSaliseal NLWat je kan verwachten Merkloos / Sans marque
ijzergaren - 20 m - polyester - sterretje ijzersterk garen - ecru - creme - off white;19,99;Naaien Naalddikte: 8-12 ijzergaren 20 mecru Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Stoffenboetiek Set van 10 naaigaren bobijnen – Seralon & Metis – 200 meter – Mix turquoise, groen, bruin en paars – Sterk polyester naaigaren – Voor naaimachine & handwerk Naaien Naalddikte: 0.5 Maak je naaiprojecten af met deze set van 10 kwaliteitsvolle naaigaren bobijnen van de topmerken Seralon... in prijs verlaagd Meestal 39,99 39.99 Je bespaart 50% Huidige voorraad bijna op bij deze verkoperSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorLaceitUpWat je kan verwachten artifil
Artifil - set wit en zwart garen - universeel naaigaren geschikt voor naaimachine en handnaaien - polyester - 2x 200m;8,25;Naaien Naalddikte: 8-12 (1) set wit en zwart garen Artifil200 m op klosje Voor 23:59 uur besteld, dinsdag in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Anchor
3x Anchor Marlitt borduurgaren 8m - borduur garen - splijtgaren 4 laags - 100% rayon - glanzend - col 1207 zalmroze roze - oudroze - nude - 3 strengen;325,95;Borduren Marlitt Borduurgaren Het bestaat uit vier lagen en kan in lagen worden verdeeld. Het is geschikt voor... Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Simthread Borduurgaren Borduren Naalddikte: 0.5 1: 120 kleuren. Elke kleur met grote glans om al uw borduurprojecten op te fleuren en te verfraaien.... Uiterlijk 29 december in huis Verkoop doorGiftsForEveryoneWat je kan verwachten Gütermann
30 - Extra Thick100% linnen;36,54;Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Creativ company CC Houten Borduurring 15 cm Tekenen Rond, houten borduurframe met metalen sluiting. Kan zowel gebruikt worden als gereedschap om het borduurwerk... Of bespaar 22% als je er 4 koopt Op voorraad Voor 23:59 uur besteld, zaterdag in huis Verkoop doorDailyathome NLWat je kan verwachten Meer verkopers vanaf 8,30 per stuk Stoffenboetiek Klikgesp zwart 25mm plastic 2 stuks Naaien De Klikgesp Zwart Anti-Slip 25mm is een veelzijdige en betrouwbare sluiting, ideaal voor diverse toepassingen... In verschillende varianten verkrijgbaar: Zwart9,99 Huidige voorraad bijna op bij deze verkoperSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorLaceitUpWat je kan verwachten Opry PRYM BREIMOLEN MINI PAARS PRYM BREIMOLEN MINI PAARS De mini-breimolen is een kleine breimolen waarmee u breibuizen kunt maken.... Of bespaar 7% als je er 2 koopt Uiterlijk 23 december in huis Verkoop doorCreaPoint.nlWat je kan verwachten Gutermann
Garen dikte 18 - Extra dik/sterk Elastiekgaren onder andere gebruikt voor smocking en het maken van sieraden....;30,75;Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten DMC Dmc Borduurwol Borduren Dmc Borduurwol is een 100% wol garen om mee te borduren. De looplengte is 8 meter op een strengetje.... Uiterlijk 23 december in huis Verkoop doort trendjeWat je kan verwachten Gesponsord Serafil Saliseal |Donkerblauw Polyester naaigaren voor Bootkap, Tent en Zonwering Naaien Naalddikte: 8-12 (12) 100% polyester naaigaren UV bestendig met een dikte 30. Dit garen gebruikt u met naalddikte 100 tot 120... Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorSaliseal NLWat je kan verwachten Gesponsord Serafil Bordo rood Polyester naaigaren voor Bootkap, Tent en Zonwering Naaien Naalddikte: 8-12 (12) 100% polyester naaigaren UV bestendig met een dikte 30. Dit garen gebruikt u met naalddikte 100 tot 120... Huidige voorraad bijna op bij deze verkoperSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorSaliseal NLWat je kan verwachten Scheepjes Stone Washed Scheepjes Stone Washed 805 Apatite Weven, Naaien, Haken, Breien, Borduren Naalddikte: 2.5-3.5 PRODUCT INFORMATIE Scheepjes Stone Washed: het katoenen garen met de robuuste naam en zachte, wolachtige... Of bespaar 19% als je er 2 koopt Uiterlijk 29 december in huis Verkoop doorstitchingfactoryWat je kan verwachten Budgetyarn Budgetyarn Acrylic DK 005 Clay Breien Naalddikte: 4 (1)
Budgetyarn Acrylic DK - Een 100% acryl garen voor een kleine prijs. Haak en brei de mooiste homedeco...;6,50;In verschillende varianten verkrijgbaar: Verschillend6,50Verschillend6,50Verschillend6,50Verschillend6,50Verschillend6,50Verschillend6,50
Micha Yarns - 10 bollen haakkatoen pakket - 100% katoen haakgaren - 10 x 50gram - Cotton Candy - Rainbow Bright (001);25,95;Haken Naalddikte: 2-2.5 (2) Bollen Bundels van Micha Yarns! Haak-/breinaald 2. 0-2. 5 100% katoen 50 gram / 170 meter 10 bollen... 6 dagen Verkoop doorMicha YarnsWat je kan verwachten Gesponsord Micha Yarns
Micha Yarns - 15 bollen haakkatoen pakket - 100% katoen haakgaren - 15 x 50gram - Cotton Candy - Technicolor (001);4,50;Haken Naalddikte: 2-2.5 (2) Bollen Bundels van Micha Yarns! Haak-/breinaald 2. 0-2. 5 100% katoen 50 gram / 170 meter 15 bollen... 6 dagen Verkoop doorMicha YarnsWat je kan verwachten Hoooked Soft Cotton DK 50g. Moscow White (wit) Breien, Borduren, Haken, Mode ontwerpen, Weven Naalddikte: 4-6 Hoooked Soft Cotton DK Moscow White Het Soft Cotton DK Moscow White garen van Hoooked is een milieuvriendelijk... Of bespaar 25% als je er 5 koopt 6 dagen Verkoop doorTrendyTextiles.nlWat je kan verwachten Meer verkopers vanaf 8,35 per stuk Gütermann GÜTERMANN SUPER STERK 1X100M COL. 991 ROZE/BRUIN. Leerbewerking, Naaien Naalddikte: 1.5 PRODUCT OMSCHRIJVING Amann Poly Sheen® is een naai- en borduurgaren van 100% polyester met een sterke... Uiterlijk 29 december in huis Verkoop doorAPC Stoffen en FourniturenWat je kan verwachten Sorbo Sorbo 15m stopwol wit Naalddikte: 0.5 Sorbo stopwol wit 15m Uiterlijk 23 december in huis Verkoop doorHennie's PartijgoederenWat je kan verwachten Hoooked
Hoooked Soft Cotton DK – Kleur Sienna Ocre - 100% gerecycled;8,50;Borduren, Breien, Haken, Macramé, Weven Naalddikte: 4-6 Duurzame garens zijn betaalbaar! Hoooked Soft Cotton DK garen is gemaakt van 80% gerecycled katoen en... Of bespaar 40% als je er 10 koopt 6 dagen Verkoop doorTrendyTextiles.nlWat je kan verwachten Meer verkopers vanaf 8,35 per stuk
Naaigaren bordeaux - 100% polyester - 500 m - klosje garen - col 6200 donker rood - donkerrood;13,50;naaigaren van elk 500 meter. Materiaal: 100% Polyester. Voor 23:59 uur besteld, dinsdag in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Creativ company CC PVC Anti-slip Mat 100x150 cm Tekenen Naalddikte: 1.5 Net van PVC gewoven van 13 draden per 10 cm (1. 3/cm). Kan in huis gebruikt worden als anti-slip bescherming... Voor 23:59 uur besteld, maandag in huis Verkoop dooriHobbyWat je kan verwachten Amann Mettler
Box set naaigaren 6 spoelen van 200m - Polysheen neon kit - Amann Mettler 100% trilobal polyester;20,86;in prijs verlaagd Meestal 38,99 38.99 Je bespaart 49% Huidige voorraad bijna op bij deze verkoperSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorLaceitUpWat je kan verwachten Gutermann Mara 1 DOOS GUTERMANN MARA 120 TEX 25 POLYESTER NAAIGAREN, 10 Bobijntjes van 1000 Meter, Totaal 10000 Meter, Kleur BLAUW 386 Naaien Gütermann Mara Polyester Naaldgaren biedt uitzonderlijke sterkte en duurzaamheid voor al je naai-projecten.... Of bespaar 20% als je er 3 koopt Uiterlijk 29 december in huis Verkoop doorSRL Leduc BVWat je kan verwachten Bobbiny Cords Bobbiny Premium Beige 5mm Breien, Haken, Weven Naalddikte: 8-9 (1) Bobbiny Premium Beige 5mm Het Bobbiny Premium Beige 5mm garen is een 100% gerecycled katoen garen wat... Of bespaar 14% als je er 2 koopt Op voorraad Uiterlijk 20 december in huis Verkoop doorhobbyshop-online.nlWat je kan verwachten Meer verkopers vanaf 19,95 per stuk Bobbiny Bobbiny Premium 5mm Black Breien, Haken, Weven Naalddikte: 10 (1) Bobbiny Premium BlackHet 5 mm Bobbiny Premium Black koord is een 100% gerecycled katoen koord wat bestaat... Of bespaar 5% als je er 2 koopt 6 dagen Verkoop doorItteDesignsWat je kan verwachten Gutermann
Micha Yarns - 10 bollen haakkatoen pakket - 100% katoen haakgaren - 10 x 50gram - Cotton Candy - Rainbow Pastel (002);18,94;Haken Naalddikte: 2-2.5 (2) Bollen Bundels van Micha Yarns! Haak-/breinaald 2. 0-2. 5 100% katoen 50 gram / 170 meter 10 bollen... 6 dagen Verkoop doorMicha YarnsWat je kan verwachten Gesponsord Coats Zand/Beige Polyester naaigaren voor Bootkap, Tent en Zonwering Naaien Naalddikte: 8-12 (1) 100% polyester naaigaren UV bestendig met een dikte 30. Dit garen gebruikt u met naalddikte 100 tot 120... Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorSaliseal NLWat je kan verwachten Bobbiny Cords Bobbiny Premium 5mm Pine Green (donker groen) Breien, Haken, Macramé Naalddikte: 8-9 (1) Bobbiny Premium PINE GREENHet 5 mm Bobbiny Premium PINE GREEN koord is een 100% gerecycled katoen koord... Of bespaar 15% als je er 4 koopt 6 dagen Verkoop doorTrendyTextiles.nlWat je kan verwachten artifil
1 klosje naaigaren 1454 donker groen Artifil - 200 m - 100% polyester - dark pine green - garen voor alle naaimachines en stoffen;5,50;Naaien donkergroen naaigaren artifil200 mgeschikt voor alle stoffen en naaimachines Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Alze
wit stopgaren - garenkaartje 20 m - polyacryl - kleur 801 - garen om te stoppen;12,95;Borduren, Breien, Haken, Naaien Naalddikte: 2.5-3.5 stopgaren is gemaakt van 100% polyacryl en wordt gebruikt bij het stoppen van sokken en kousen. Dit stopgaren... Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Creativ company CC Bamboekoord 1 mm Goud 65 m Macramé, Home deco Naalddikte: 1.5 Gedraaid koord van 100% bamboe Voor 23:59 uur besteld, maandag in huis Verkoop dooriHobbyWat je kan verwachten
naaigaren bruin col. 1426 Artifil - 200 m - 100% polyester - garen voor alle naaimachines en stoffen;5,50;Naalddikte: 12-15 bruin naaigaren artifil200 mgeschikt voor alle stoffen en naaimachines Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten
Gutermann neon garen - fel groen - 100 m - naaigaren - 100% polyester - nr 3836;29,30;Naaien Gütermann Naaigaren Neon Groen 3836 Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Orchidea Knoopkussen kit kleine hond nr 4504 Punch Needle Instructies in engels, duits en frans 6 dagen Verkoop doorCreadamWat je kan verwachten elga
2 klosjes sterk ijzergaren wit - 100% polyester - ijzersterk garen;5,50;Naaien, Leerbewerking Naalddikte: 8-12 2 x 20 meter wit ijzergaren Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten De Bondt
749 JAPANS SATIJNKOORD 3MM - KUMIHIMO - ROZE Mooi satijnkoord voor multifunctioneel decoratief gebruik....;6,99;Of bespaar 34% als je er 4 koopt Uiterlijk 23 december in huis Verkoop doorCreaPoint.nlWat je kan verwachten Kleiber & Co 71036 Stopwol 20mtr licht grijs Naaien (2) Material: 30% Cotton, 70% PolyacrylicLength: 20 m In verschillende varianten verkrijgbaar: legergroen6,99donker blauw6,99beige6,99donker grijs6,99bruin6,99 Of bespaar 8% als je er 4 koopt Uiterlijk 23 december in huis Verkoop doorMerkenDistributieWat je kan verwachten Alize Yarns
Alize Puffy - Light petrol blue (294) - 100 gr - 1 bol;20,99;Breien Iedereen kan breien met Alize Puffy! Zelfs als je nog nooit gehaakt of gebreid hebt. Je hebt geen naalden... Uiterlijk 22 december in huis Verkoop doorWollies by LiesWat je kan verwachten Gesponsord Serafil Saliseal |Donkerblauw Polyester naaigaren voor Bootkap, Tent en Zonwering Naaien Naalddikte: 8-12 (12) 100% polyester naaigaren UV bestendig met een dikte 30. Dit garen gebruikt u met naalddikte 100 tot 120... Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorSaliseal NLWat je kan verwachten Gesponsord Serafil Bordo rood Polyester naaigaren voor Bootkap, Tent en Zonwering Naaien Naalddikte: 8-12 (12) 100% polyester naaigaren UV bestendig met een dikte 30. Dit garen gebruikt u met naalddikte 100 tot 120... Huidige voorraad bijna op bij deze verkoperSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorSaliseal NLWat je kan verwachten Pako
Pako borduurpakket kruissteek kussen - Puppy - geprint stramien - 003.298 - DIY kit;16,54;Borduren Een kruissteek 003. 298 kussen schattige puppy borduurpakket op voorbedrukt stramien,gemakkelijk te borduren.... Meestal 27,95 27.95 Je bespaart 6% 6 dagen Verkoop doorCreadamWat je kan verwachten ReTreat Chunky Chunky Wol ReTreat Purpose (donker groen) Breien, Borduren, Haken, Macramé, Punch Needle Naalddikte: 6-7 Chunky Wol ReTreat Purpose Chunky Wol ReTreat Purpose garen is gemaakt van 100% Britse wol. Dit heerlijk... Of bespaar 20% als je er 4 koopt 6 dagen Verkoop doorTrendyTextiles.nlWat je kan verwachten 1.323 resultaten Sortering
Micha Yarns - 10 bollen haakkatoen pakket - 100% katoen haakgaren - 10 x 50gram - Cotton Candy - Rainbow Bright (001);25,95;Haken Naalddikte: 2-2.5 (2) Bollen Bundels van Micha Yarns! Haak-/breinaald 2. 0-2. 5 100% katoen 50 gram / 170 meter 10 bollen... 6 dagen Verkoop doorMicha YarnsWat je kan verwachten Gesponsord Micha Yarns
Micha Yarns - 15 bollen haakkatoen pakket - 100% katoen haakgaren - 15 x 50gram - Cotton Candy - Technicolor (001);34,95;Haken Naalddikte: 2-2.5 (2) Bollen Bundels van Micha Yarns! Haak-/breinaald 2. 0-2. 5 100% katoen 50 gram / 170 meter 15 bollen... 6 dagen Verkoop doorMicha YarnsWat je kan verwachten DMC Dmc Borduurwol Borduren Dmc Borduurwol is een 100% wol garen om mee te borduren. De looplengte is 8 meter op een strengetje.... Uiterlijk 23 december in huis Verkoop doort trendjeWat je kan verwachten
Gutermann supersterk garen - naaigaren super strong sterk - col 412 - lichtbruin goud bruin oker - 1 klos 100m;6,99;Naaien Gütermann Super Sterk naaigaren is geschikt voor zwaardere stoffen (jeans, leer, bankstel, luifel, canvas,... in prijs verlaagd Meestal 11,00 11.00 Je bespaart 27% Voor 23:59 uur besteld, dinsdag in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Kleiber & Co 71028 Stopwol 20mtr zwart Naaien Naalddikte: 0.5 Materiaal: 30% Wol, 70% Polyacryl Lengte: 20 m Of bespaar 10% als je er 8 koopt Uiterlijk 23 december in huis Verkoop doorMerkenDistributieWat je kan verwachten
ijzergaren - sterretje 20 m - olijfgroen - legergroen - groen polyester garen - ijzersterk - 1 stuks;4,95;ijzergaren camouflage groen Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Gütermann R-Pet Naaigaren Gütermann R-Pet Wit 800 Naaien Naalddikte: 0.5 Een beter milieu begint bij. .. .. . Het R-pet garen wordt gemaakt uit 100% gerecyclede plastic flessen.... Of bespaar 5% als je er 2 koopt Uiterlijk 22 december in huis Verkoop doorStoffenshop MôpjeWat je kan verwachten Meer verkopers vanaf 4,55 per stuk De Bondt
433 JAPANS SATIJNKOORD 3MM - KUMIHIMO - GROEN Mooi satijnkoord voor multifunctioneel decoratief gebruik....;19,99;Of bespaar 34% als je er 4 koopt Uiterlijk 23 december in huis Verkoop doorCreaPoint.nlWat je kan verwachten Set van 10× Métis & Mettler Seralon naaigaren – 200m – Mix van mosgroen, petrol, taupe, nude & bruin – Polyester naaigaren Deze stijlvolle naaiset van 10 klossen combineert Mettler Seralon en Métis polyester naaigaren in een... Huidige voorraad bijna op bij deze verkoperSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorLaceitUpWat je kan verwachten Amann Mettler Set van 10 naaigaren bobijnen – Seralon & Metis – 200 meter – Mix paars, blauw, groen & bruin – Sterk polyester naaigaren – Voor naaimachine & handwerk Naaien (1) Maak je naaicollectie compleet met deze set van 10 kwaliteitsvolle naaigaren bobijnen van Seralon en... In verschillende varianten verkrijgbaar: Alle kleuren250,00 in prijs verlaagd Meestal 39,99 39.99 Je bespaart 50% Huidige voorraad bijna op bij deze verkoperSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorLaceitUpWat je kan verwachten Merkloos / Sans marque
sterretje ijzergaren - 20m - 100% polyester - zalm perzik roze - ijzersterk garen;6,50;Naaien supersterk garen zalm roze sterretje met 20 meter Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten DMC Dmc Borduurwol Borduren Dmc Borduurwol is een 100% wol garen om mee te borduren. De looplengte is 8 meter op een strengetje.... Uiterlijk 23 december in huis Verkoop doort trendjeWat je kan verwachten Merkloos / Sans marque
sterretje ijzergaren - 20m - 100% polyester - licht geel - pastel - ijzersterk garen;6,50;Naaien supersterk garen licht geel sterretje met 20 meter Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Gesponsord Micha Yarns
Micha Yarns - 10 bollen haakkatoen pakket - 100% katoen haakgaren - 10 x 50gram - Cotton Candy - Rainbow Pastel (002);20,99;Haken Naalddikte: 2-2.5 (2) Bollen Bundels van Micha Yarns! Haak-/breinaald 2. 0-2. 5 100% katoen 50 gram / 170 meter 10 bollen... 6 dagen Verkoop doorMicha YarnsWat je kan verwachten Gesponsord Coats Zand/Beige Polyester naaigaren voor Bootkap, Tent en Zonwering Naaien Naalddikte: 8-12 (1) 100% polyester naaigaren UV bestendig met een dikte 30. Dit garen gebruikt u met naalddikte 100 tot 120... Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorSaliseal NLWat je kan verwachten
ijzergaren sterretje lichtbruin bruin - polyester garen - ijzersterk - 20m;6,25;sterretje ijzersterk garen licht bruin Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Corna
Corna elastisch garen 0,8 mm - navy blauw - 1 klosje 20 m - col 1465 - elastiek draad - geschikt voor sieraden;5,50;Borduren, Naaien Naalddikte: 8-12 Sterke kwaliteit elastisch garen geschikt voor sieraden maken dikte 0,8 mmdonker blauw col 1465 Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Nellie`s Choice
10 vel Nellie Snellen dubbelzijdig klevende vierkantjes - borduurstickers garenstickers - 4 mm vierkant - yarnstickers - zelfklevend dubbelzijdig - 1173 stickers per vel;16,54;Borduren Naalddikte: 10 10 vellen Borduurstickers Nellie Snellen voor kaartborduren om gareneindjes vast te plakken. 1173 stuks... Voor 23:59 uur besteld, dinsdag in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten ReTreat Chunky Chunky Wol ReTreat Joy Breien, Haken, Vilten, Weven Naalddikte: 6-7 (1) Chunky Wol ReTreat Joy Chunky Wol ReTreat Joy garen is gemaakt van 100% Britse wol. Dit heerlijk zachte... In verschillende varianten verkrijgbaar: Ponder Blauw16,95Tranquil16,54Mellow Geel16,95Escape Roze16,95Pure Naturel16,95Reflect zwart16,95 Of bespaar 20% als je er 4 koopt 6 dagen Verkoop doorTrendyTextiles.nlWat je kan verwachten
metallic 30 borduurgaren wit goud - klosje 100 m - embroidery thread col 1892 witgoud - garen modinetje - gouden naaigaren;5,75;Borduren embroidery thread for sewing. Brilliant sparkling metallic thread to create fascinating accents and... Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Gütermann Gutermann Sulky Metallic, groen nr:7015, 200 meter Borduren, Naaien Naalddikte: 0.5 Gütermann Sulky Metallic machinaal borduurgaren heeft een fraaie metallic glans, die het garen bij uitstek...
